Q_id,Q,Classes
Q1,"I consider how things might be in the future, and try to influence those things with my day to day behavior.",NB
Q2,Often I engage in a particular behavior in order to achieve outcomes that may not result for many years.,NB
Q3,"I only act to satisfy immediate concerns, figuring the future will take care of itself.",NB
Q4,"My behavior is only influenced by the immediate (i.e., a matter of days or weeks) outcomes of my actions.",NB
Q5,My convenience is a big factor in the decisions I make or the actions I take.,NB
Q6,I am willing to sacrifice my immediate happiness or well-being in order to achieve future outcomes.,B
Q7,I think it is important to take warnings about negative outcomes seriously even if the negative outcome will not occur for many years.,NB
Q8,I think it is more important to perform a behavior with important distant consequences than a behavior with less-important immediate consequences.,NB
Q9,I generally ignore warnings about possible future problems because I think the problems will be resolved before they reach crisis level.,NB
Q10,I think that sacrificing now is usually unnecessary since future outcomes can be dealt with at a later time.,NB
Q11,"I only act to satisfy immediate concerns, figuring that I will take care of future problems that may occur at a later date.",NB
Q12,"Since my day to day work has specific outcomes, it is more important to me than behavior that has distant outcomes.",NB
