Q_id,Q,Classes
Q1,I found myself getting upset by quite trivial things.,NB
Q2,I was aware of dryness of my mouth.,B
Q3,I couldn't seem to experience any positive feeling at all.,NB
Q4,I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion).,B
Q5,I just couldn't seem to get going.,NB
Q6,I tended to over-react to situations.,NB
Q7,I had a feeling of shakiness (eg, legs going to give way).,B
Q8,I found it difficult to relax.,NB
Q9,I found myself in situations that made me so anxious I was most relieved when they ended.,NB
Q10,I felt that I had nothing to look forward to.,NB
Q11,I found myself getting upset rather easily.,NB
Q12,I felt that I was using a lot of nervous energy.,NB
Q13,I felt sad and depressed.,NB
Q14,I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting).,NB
Q15,I had a feeling of faintness.,B
Q16,I felt that I had lost interest in just about everything.,NB
Q17,I felt I wasn't worth much as a person.,NB
Q18,I felt that I was rather touchy.,B
Q19,I perspired noticeably (eg, hands sweaty) in the absence of high temperatures or physical exertion.,B
Q20,I felt scared without any good reason.,NB
Q21,I felt that life wasn't worthwhile.,NB
Q22,I found it hard to wind down.,NB
Q23,I had difficulty in swallowing.,B
Q24,I couldn't seem to get any enjoyment out of the things I did.,NB
Q25,I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat).,B
Q26,I felt down-hearted and blue.,NB
Q27,I found that I was very irritable.,NB
Q28,I felt I was close to panic.,NB
Q29,I found it hard to calm down after something upset me.,NB
Q30,I feared that I would be &quot;thrown&quot; by some trivial but unfamiliar task.,NB
Q31,I was unable to become enthusiastic about anything.,NB
Q32,I found it difficult to tolerate interruptions to what I was doing.,NB
Q33,I was in a state of nervous tension.,NB
Q34,I felt I was pretty worthless.,NB
Q35,I was intolerant of anything that kept me from getting on with what I was doing.,NB
Q36,I felt terrified.,NB
Q37,I could see nothing in the future to be hopeful about.,NB
Q38,I felt that life was meaningless.,NB
Q39,I found myself getting agitated.,NB
Q40,I was worried about situations in which I might panic and make a fool of myself.,NB
Q41,I experienced trembling (eg, in the hands).,B
Q42,I found it difficult to work up the initiative to do things.,NB
