Q_id,Q,Classes
Q1,Never tell anyone the real reason you did something unless it is useful to do so.,NB
Q2,The best way to handle people is to tell them what they want to hear.,NB
Q3,One should take action only when sure it is morally right.,NB
Q4,Most people are basically good and kind.,NB
Q5,It is safest to assume that all people have a vicious streak and it will come out when they are given a chance.,NB
Q6,Honesty is the best policy in all cases.,NB
Q7,There is no excuse for lying to someone else.,NB
Q8,Generally speaking, people won't work hard unless they're forced to do so.,NB
Q9,All in all, it is better to be humble and honest than to be important and dishonest.,NB
Q10,When you ask someone to do something for you, it is best to give the real reasons for wanting it rather than giving reasons which carry more weight.,NB
Q11,Most people who get ahead in the world lead clean, moral lives.,NB
Q12,Anyone who completely trusts anyone else is asking for trouble.,NB
Q13,The biggest difference between most criminals and other people is that the criminals are stupid enough to get caught.,NB
Q14,Most people are brave.,NB
Q15,It is wise to flatter important people.,NB
Q16,It is possible to be good in all respects.,NB
Q17,P.T. Barnum was wrong when he said that there's a sucker born every minute.,NB
Q18,It is hard to get ahead without cutting corners here and there.,NB
Q19,People suffering from incurable diseases should have the choice of being put painlessly to death.,B
Q20,Most people forget more easily the death of their parents than the loss of their property.,B
