Q_id,Q,Classes
Q1,I feel that I am a person of worth, at least on an equal plane with others.,NB
Q2,I feel that I have a number of good qualities.,NB
Q3,All in all, I am inclined to feel that I am a failure.,NB
Q4,I am able to do things as well as most other people.,NB
Q5,I feel I do not have much to be proud of.,NB
Q6,I take a positive attitude toward myself.,NB
Q7,On the whole, I am satisfied with myself.,NB
Q8,I wish I could have more respect for myself.,NB
Q9,I certainly feel useless at times.,NB
Q10,At times I think I am no good at all.,NB
