Q_id,Q,Classes
M1,It's not wise to tell your secrets.,NB
M2,I like to use clever manipulation to get my way.,NB
M3,Whatever it takes, you must get the important people on your side.,NB
M4,Avoid direct conflict with others because they may be useful in the future.,NB
M5,It’s wise to keep track of information that you can use against people later.,NB
M6,You should wait for the right time to get back at people., NB
M7,There are things you should hide from other people because they don’t need to know.,NB
M8,Make sure your plans benefit you, not others.,NB
M9,Most people can be manipulated.,NB
N1,People see me as a natural leader.,NB
N2,I hate being the center of attention.,NB
N3,Many group activities tend to be dull without me.,NB
N4,I know that I am special because everyone keeps telling me so.,NB
N5,I like to get acquainted with important people.,NB
N6,I feel embarrassed if someone compliments me.,nb
N7,I have been compared to famous people.,NB
N8,I am an average person.,NB
N9,I insist on getting the respect I deserve.,NB
P1,I like to get revenge on authorities.,NB
P2,I avoid dangerous situations.,NB
P3,Payback needs to be quick and nasty.,NB 
P4,People often say I’m out of control., NB
P5,It’s true that I can be mean to others.,NB 
P6,People who mess with me always regret it.,NB
P7,I have never gotten into trouble with the law.,NB
P8,I enjoy having sex with people I hardly know.,B
P9,I’ll say anything to get what I want.,NB
