prompt,classes,answer_index,source_dataset,body,Q_id,front,binarized
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I look forward to the future with hope and enthusiasm","[' True', ' False']",0,beck_hopelessness,0,0,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I might as well give up because I can't make things better for myself","[' True', ' False']",1,beck_hopelessness,0,1,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: When things are going badly, I am helped by knowing they can't stay that way forever.","[' True', ' False']",0,beck_hopelessness,0,2,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I can't imagine what my life would be like in 10 years.","[' True', ' False']",1,beck_hopelessness,0,3,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I have enough time to accomplish the things I most want to do.","[' True', ' False']",0,beck_hopelessness,0,4,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: In the future, I expect to succeed in what concerns me most.","[' True', ' False']",0,beck_hopelessness,0,5,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: My future seems dark to me.","[' True', ' False']",1,beck_hopelessness,0,6,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I expect to get more of the good things in life than the average person.","[' True', ' False']",0,beck_hopelessness,0,7,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I just don't get the breaks, and there's no reason to believe I will in the future.","[' True', ' False']",1,beck_hopelessness,0,8,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: My past experiences have prepared me well for my future.","[' True', ' False']",0,beck_hopelessness,0,9,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: All I can see ahead of me is unpleasantness rather than pleasantness.","[' True', ' False']",1,beck_hopelessness,0,10,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I don't expect to get what I really want.","[' True', ' False']",1,beck_hopelessness,0,11,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: When I look ahead to the future, I expect I will be happier than I am now.","[' True', ' False']",0,beck_hopelessness,0,12,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: Things just won't work out the way I want them to.","[' True', ' False']",1,beck_hopelessness,0,13,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I have great faith in the future.","[' True', ' False']",0,beck_hopelessness,0,14,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I never get what I want so it's foolish to want anything.","[' True', ' False']",1,beck_hopelessness,0,15,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: It is very unlikely that I will get any real satisfaction in the future.","[' True', ' False']",1,beck_hopelessness,0,16,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: The future seems vague and uncertain to me.","[' True', ' False']",1,beck_hopelessness,0,17,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: I can look forward to more good times than bad times.","[' True', ' False']",0,beck_hopelessness,0,18,1,1
"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today: There's no use in really trying to get something I want because I probably won't get it.","[' True', ' False']",1,beck_hopelessness,0,19,1,1
