,prompt,classes,answer_idx,prompt_in_front,binarized,body,Q_id,source_dataset
0,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I found myself getting upset by quite trivial things.","['A', 'B', 'C', 'D']",0,1,0,0,Q1,dass
1,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I was aware of dryness of my mouth.","['A', 'B', 'C', 'D']",0,1,0,1,Q2,dass
2,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I couldn't seem to experience any positive feeling at all.","['A', 'B', 'C', 'D']",0,1,0,0,Q3,dass
3,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion).","['A', 'B', 'C', 'D']",0,1,0,1,Q4,dass
4,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I just couldn't seem to get going.","['A', 'B', 'C', 'D']",0,1,0,0,Q5,dass
5,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I tended to over-react to situations.","['A', 'B', 'C', 'D']",0,1,0,0,Q6,dass
6,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I had a feeling of shakiness (eg, legs going to give way).","['A', 'B', 'C', 'D']",0,1,0,1,Q7,dass
7,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I found it difficult to relax.","['A', 'B', 'C', 'D']",0,1,0,0,Q8,dass
8,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I found myself in situations that made me so anxious I was most relieved when they ended.","['A', 'B', 'C', 'D']",0,1,0,0,Q9,dass
9,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I felt that I had nothing to look forward to.","['A', 'B', 'C', 'D']",0,1,0,0,Q10,dass
10,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I found myself getting upset rather easily.","['A', 'B', 'C', 'D']",0,1,0,0,Q11,dass
11,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I felt that I was using a lot of nervous energy.","['A', 'B', 'C', 'D']",0,1,0,0,Q12,dass
12,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I felt sad and depressed.","['A', 'B', 'C', 'D']",0,1,0,0,Q13,dass
13,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting).","['A', 'B', 'C', 'D']",0,1,0,0,Q14,dass
14,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I had a feeling of faintness.","['A', 'B', 'C', 'D']",0,1,0,1,Q15,dass
15,"In the past week, how much has the following statement applied to you? A: Not at all. B: Several days. C: More than half the days. D: Nearly every day. I felt that I had lost interest in just about everything.","['A', 'B', 'C', 'D']",0,1,0,0,Q16,dass
