idx,prompt,classes,answer_index
18,"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today. Statement: My past experiences have prepared me well for my future. Choice:","[' True', ' False']",0
19,"Please choose True or False for whether or not the following statement is accurate in describing how you have been feeling in the past weeks, including today. Statement: It is very unlikely that I will get any real satisfaction in the future. Choice:","[' True', ' False']",1
20,"Statement: I just don't get the breaks, and there's no reason to believe I will in the future. Is the previous statement accurate in describing how you have been feeling in the past weeks, including today? Answer:","[' Yes', ' No']",1
21,"Statement: I never get what I want so it's foolish to want anything. Is the previous statement accurate in describing how you have been feeling in the past weeks, including today? Answer:","[' Yes', ' No']",1
22,"Statement: There's no use in really trying to get something I want because I probably won't get it. Is the previous statement accurate in describing how you have been feeling in the past weeks, including today? Answer:","[' Yes', ' No']",1
38,Choose the answer to the following question that best describes how you felt over the past week. Question: Do you prefer to avoid social gatherings? Choice:,"[' Yes', ' No']",1
81,Choose whether or not the following statement applies to you. Statement: I like to read newspaper articles on crime. Choice:,"[' True', ' False']",1
82,Choose whether or not the following statement applies to you. Statement: I work under a great deal of tension. Choice:,"[' True', ' False']",1
83,Choose whether or not the following statement applies to you. Statement: No one seems to understand me. Choice:,"[' True', ' False']",1
84,Choose whether or not the following statement applies to you. Statement: Evil spirits possess me at times. Choice:,"[' True', ' False']",1
85,Choose whether or not the following statement applies to you. Statement: At times I feel like swearing. Choice:,"[' True', ' False']",1
86,Choose whether or not the following statement applies to you. Statement: I have nightmares every few nights. Choice:,"[' True', ' False']",1
87,Choose whether or not the following statement applies to you. Statement: I find it hard to keep my mind on a task or job. Choice:,"[' True', ' False']",1
88,Choose whether or not the following statement applies to you. Statement: I have had very peculiar and strange experiences. Choice:,"[' True', ' False']",1
89,Choose whether or not the following statement applies to you. Statement: At times I feel like smashing things. Choice:,"[' True', ' False']",1
90,"Choose whether or not the following statement applies to you. Statement: I have had periods of days, weeks, or months when I couldn’t take care of things because I couldn’t “get going”. Choice:","[' True', ' False']",1
91,Choose whether or not the following statement applies to you. Statement: I do not always tell the truth. Choice:,"[' True', ' False']",1
92,"Choose whether or not the following statement applies to you. Statement: If people had not had it in for me, I would have been much more successful. Choice:","[' True', ' False']",1
93,Choose whether or not the following statement applies to you. Statement: I have often had to take orders from someone who did not know as much as I did. Choice:,"[' True', ' False']",1
94,Choose whether or not the following statement applies to you. Statement: I think a great many people exaggerate their misfortunes in order to gain the sympathy and help of others. Choice:,"[' True', ' False']",1
